iter	Passed	Remaining
1507	24646	24384
1508	24661	24367
1509	24678	24351
1510	24693	24334
1511	24711	24319
1512	24726	24301
1513	24741	24283
1514	24756	24266
1515	24772	24249
1516	24789	24233
1517	24805	24217
1518	24824	24203
1519	24842	24189
1520	24859	24172
1521	24877	24158
1522	24895	24143
1523	24914	24130
1524	24932	24115
1525	24949	24099
1526	24965	24082
1527	24981	24065
1528	24996	24048
1529	25014	24033
1530	25031	24018
1531	25046	24000
1532	25061	23982
1533	25078	23966
1534	25094	23950
1535	25108	23931
1536	25125	23915
1537	25140	23897
1538	25155	23880
1539	25170	23863
1540	25186	23845
1541	25202	23829
1542	25219	23813
1543	25235	23797
1544	25249	23779
1545	25266	23762
1546	25281	23745
1547	25298	23729
1548	25314	23713
1549	25329	23695
1550	25345	23678
1551	25360	23661
1552	25377	23645
1553	25393	23629
1554	25409	23612
1555	25425	23595
1556	25443	23580
1557	25459	23564
1558	25475	23547
1559	25490	23529
1560	25507	23513
1561	25522	23496
1562	25538	23479
1563	25553	23462
1564	25570	23446
1565	25585	23429
1566	25600	23411
1567	25616	23394
1568	25632	23377
1569	25648	23361
1570	25664	23344
1571	25680	23328
1572	25698	23312
1573	25713	23295
1574	25730	23280
1575	25745	23262
1576	25762	23246
1577	25779	23230
1578	25794	23213
1579	25811	23197
1580	25827	23181
1581	25845	23165
1582	25861	23149
1583	25878	23133
1584	25894	23116
1585	25910	23100
1586	25928	23085
1587	25943	23068
1588	25959	23051
1589	25975	23034
1590	25989	23016
1591	26004	22999
1592	26021	22983
1593	26037	22966
1594	26051	22948
1595	26066	22930
1596	26081	22913
1597	26096	22895
1598	26110	22877
1599	26126	22860
1600	26142	22843
1601	26158	22827
1602	26175	22811
1603	26192	22796
1604	26210	22781
1605	26228	22765
1606	26244	22749
1607	26259	22732
1608	26277	22716
1609	26293	22700
1610	26309	22684
1611	26324	22666
1612	26339	22648
1613	26354	22631
1614	26370	22615
1615	26388	22600
1616	26403	22582
1617	26420	22566
1618	26436	22550
1619	26453	22534
1620	26469	22518
1621	26484	22500
1622	26498	22482
1623	26515	22465
1624	26530	22448
1625	26545	22431
1626	26566	22418
1627	26583	22403
1628	26599	22386
1629	26616	22371
1630	26631	22353
1631	26647	22337
1632	26664	22321
1633	26680	22304
1634	26697	22288
1635	26713	22271
1636	26729	22255
1637	26744	22237
1638	26759	22220
1639	26776	22204
1640	26792	22188
1641	26810	22173
1642	26826	22157
1643	26842	22139
1644	26858	22123
1645	26873	22106
1646	26889	22089
1647	26906	22073
1648	26923	22057
1649	26937	22040
1650	26952	22022
1651	26970	22007
1652	26985	21990
1653	27002	21973
1654	27019	21958
1655	27034	21941
1656	27050	21924
1657	27065	21907
1658	27081	21890
1659	27096	21873
1660	27112	21856
1661	27127	21839
1662	27142	21821
1663	27158	21804
1664	27174	21788
1665	27191	21772
